PaperTitle,Year,Journal,FirstAuthorName_cleaned,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,SampleMusicianshipDescription,SamplingMethodDescription,SampleOtherDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Roughness of two simultaneous harmonic complex tones on just-tempered and equal-tempered scales ,2017,Music Perception,"Vencovsky, Vaclav",Czech Republic,NA,NA,NA,33,33.5,NA,5,NA,NA,volunteer,NA,NA,NA,NA,experimenter-created,Pre recorded intervals were used as stimuli for this study,Akvile Jadzgeviciute,Roughness; just temperament; equal temperament; roughness model; peripheral-ear model
Auditory driving in cinematic art,2017,Music Perception,"Boltz, Marilyn G.",US,NA,NA,NA,24,NA,NA,14,10,non-musicians,course credit,university students,NA,electronic,NA,experimenter-created,Experiment 1,Akvile Jadzgeviciute,Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing
Auditory driving in cinematic art,2017,Music Perception,"Boltz, Marilyn G.",US,NA,NA,NA,24,NA,NA,13,11,non-musicians,course credit,university students,NA,electronic,NA,experimenter-created,Experiment 2,Akvile Jadzgeviciute,Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing
Auditory driving in cinematic art,2017,Music Perception,"Boltz, Marilyn G.",US,NA,NA,NA,48,NA,NA,26,22,non-musicians,course credit,university students,NA,NA,NA,NA,"Experiment 3; a visual que was showneither with original soundrtack, manipulated sountrack or silence.",Akvile Jadzgeviciute,Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing
Auditory driving in cinematic art,2017,Music Perception,"Boltz, Marilyn G.",US,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Experiment 4; a visual que was showneither with original soundrtack, manipulated sountrack or silence.",Akvile Jadzgeviciute,Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing
Blending between bassoon and horn players: an analysis of timbral adjustments during musical performance ,2017,Music Perception,"Lembke, Scen-Amin",Canada,Canada,NA,NA,16,24.5,NA,9,7,musicians,paid,NA,NA,classical,Western,precomposed,"The music piece was used to evaluate timbre adjustment in players, it was not used as a stimulus.",Akvile Jadzgeviciute,Ensemble coordination; music performance; timbre; blend; spectrum
An exploratory study of narrative experiences of music ,2017,Music Perception,"Margulis, Elizabeth Hellmuth",US,US,NA,NA,47,20.9,8,36,11,non-musicians,course credit,university students,NA,classical,Western,precomposed,,Akvile Jadzgeviciute,Narrative; musical topics; enculturation; music and language; semantics
Creating musical cadences via conceptual blending: Empirical evaluation and enhancement of a formal model ,2017,Music Perception,"Zacharakis, Asterios",Greece,Greece,NA,NA,20,16.5,NA,NA,10,musicians,volunteer,university students,NA,NA,NA,experimenter-created,Experiment 1,Akvile Jadzgeviciute,Conceptual blending; musical cadence; computational creativity; empirical evaluation; harmony perception
Creating musical cadences via conceptual blending: Empirical evaluation and enhancement of a formal model ,2017,Music Perception,"Zacharakis, Asterios",Greece,Greece,NA,NA,26; 25,22.7; 26.7,NA,NA,32,musicians,volunteer,university students,NA,NA,NA,experimenter-created,Experiment 2,Akvile Jadzgeviciute,Conceptual blending; musical cadence; computational creativity; empirical evaluation; harmony perception
Individual differences in music-perceived emotions: the influence of externally oriented thinking ,2017,Music Perception,"Taruffi, Liila",Germany,NA,Italy,NA,120,30.37,9.49,73,NA,NA,volunteer,university+,NA,NA,NA,NA,,Akvile Jadzgeviciute,Music-perceived emotions; alexithymia; empathy; personality traits; musical expertise
Perceiving boundaries in unfamiliar turkish makam music: evidence for gestalt universals? ,2017,Music Perception,"Mungan, Esra",Turkey,Turkey,Turkey,NA,41,NA,NA,NA,NA,musicians; non-musicians,course credit,NA,NA,makam,Turkey,precomposed,,Akvile Jadzgeviciute,Music segmentation; makam music; Gestalt; music training; music enculturation
Systematic variation in rhythm production as tempo changes ,2017,Music Perception,"Barton, Scott",US,US,NA,NA,11,NA,NA,NA,NA,musicians; non-musicians,volunteer,university+,NA,NA,NA,NA,Clave rhythm was used to test effect of tempo on performance deviation,Akvile Jadzgeviciute,Rhythm production; rhythm perception; relational invariance; temporal interval; tempo
Can you tell a prodogy from a professional musician?,2017,Music Perception,"Comeau, Gilles",Canada,Canada,NA,NA,51,33.5,13,NA,NA,musicians; non-musicians,volunteer,NA,NA,NA,NA,NA,Stimuli were collected from various sources of performances of the same piece by either a child prodigy or a professional musician. The list of pieces were not given.,Akvile Jadzgeviciute,Music prodigies; musical talent; musical performance; young performers; rate of progress
Generality of the memory advantage for vocal melodies ,2017,Music Perception,"Weiss, Michael W.",Canada,NA,NA,NA,90,18.6,2.5,66,24,NA,volunteer,undergraduate students,NA,folk,Western,precomposed,Syimuli were partly recorded specifically for this study,Akvile Jadzgeviciute,Melody recognition; voice perception; memory; music; timbre
Perception of modulations in south Indian classical (Carnatic) music by student and teacher musicians: A cross-cultural study ,2017,Music Perception,"Raman, Rachna",US,India; US,India; US,NA,44; 44,55.8; 53.2,NA,34; 27,10; 17,musicians,volunteer,NA,NA,Ragamalika,India,precomposed,"Exp 1; Cohort descriptions: Indian student below 60; Indian teacher below 60; Western student below 60; Western teacher below 60; Indian student above 60; Indian teacher above 60; Western student above 60; Western teacher above 60. (only cohort descriptors were reported for cohorts, the full participant number in each cohort was not reported.)",Akvile Jadzgeviciute,Culture-specific cues; grahabedham; ragamalika; schematic and veridical knowledge; surface-level cues
Perception of modulations in south Indian classical (Carnatic) music by student and teacher musicians: A cross-cultural study ,2017,Music Perception,"Raman, Rachna",US,India; US,India; US,NA,31; 30,54.6; 52.6,NA,28; 17,3; 13,musicians,volunteer,NA,NA,Grahabedham,India,precomposed,"Exp 2; Cohort descriptions: Indian student below 60; Indian teacher below 60; Western student below 60; Western teacher below 60; Indian student above 60; Indian teacher above 60; Western student above 60; Western teacher above 60. (only cohort descriptors were reported for cohorts, the full participant number in each cohort was not reported.)",Akvile Jadzgeviciute,Culture-specific cues; grahabedham; ragamalika; schematic and veridical knowledge; surface-level cues
Taking harmony into account: the effect of harmony on melodic probability ,2017,Music Perception,"Arthur, Claire",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Akvile Jadzgeviciute,Melodic probability;  melodic modeling; melodic expectation; harmony; scale-degree distributions
Rhythmic variability in European vocal music ,2017,Music Perception,"Temperley, David",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study,Akvile Jadzgeviciute,Vocal music; rhythm; nPVI; speech; music-language connections
Harmonic syntax of the twelve-bar blues form: a corpus study ,2017,Music Perception,"Katz, Jonah",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,blues,Western,precomposed,Corpus study,Akvile Jadzgeviciute,Syntax; corpus methods; formal language complexity; blues; jazz harmony
Swing rhythm in classic drum breaks from hip-hop’s breakbeat canon ,2017,Music Perception,"Frane, Andrew V.",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Western,precomposed,Corpus study; classic drum beats sampled by hip-hop artists were examined.,Akvile Jadzgeviciute,Swing; microtiming; hip-hop; breakbeats; sampling
Perception and evaluation of timing patterns in drum ensemble music from Mali ,2017,Music Perception,"Neuhoff, Hans",Germany,Mali,Mali,NA,23,NA,NA,10,13,musicians,paid,NA,NA,Manjanin,Mali,precomposed,,Akvile Jadzgeviciute,Rhythm production and perception; swing ratio; timing; Malian drumming; non-Western music
Perceptual learning of pitch direction in congenital amusia: evidence from Chinese speakers ,2017,Music Perception,"Liu, Fang",UK,China,China,NA,20; 20,23.55; 23.25,1.57; 1.71,NA,NA,NA,other,amusics,17.20; 18.20; 16.20; 17.85,NA,NA,experimenter-created,Study evaluated accuracy of identifying pitch movement directions,Akvile Jadzgeviciute,Congenital amusia; auditory training; pitch threshold; pitch direction; musical processing
GEMIAC: GEneva Music-Induced Affect Checklist,2017,Music Perception,"Coutinho, Eduardo",UK,online,Switzerland,NA,18,30.2,6.19,13,NA,NA,paid,NA,NA,NA,NA,NA,Gemiac development,Akvile Jadzgeviciute,Emotion; feeling; music; measurement; checklist
"Music, Synchrony, and Prosocial Behavior in Infants",2017,Music Perception,"Cirelli, Laura K.",Canada,Canada,NA,NA,24,1.22,0.02,12,NA,NA,other,infants,NA,NA,NA,NA,,Akvile Jadzgeviciute,Interpersonal synchrony; infancy; prosocial behavior; music; soundscape
Perception and Familiarity of Diatonic Modes,2017,Music Perception,"Tan, Daphne",US,US,NA,NA,18; 12; 16; 12,21; 20; 20; 24,NA,NA,NA,non-musicians,paid,university students,NA,artificial,Western,experimenter-created,The stimuli used were experiemnter created melodies based on mode pairs to investigate perception of diatonic modes.,Akvile Jadzgeviciute,Familiarity; diatonic modes; scales; emotion; popular music
Global music recordings support the motor constraint hypothesis for human and avian song contour ,2017,Music Perception,"Savage, Patrick E.",Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,world,Liberia; Somalia; Venezuala; Brazil; Chile; Western; India; Turkey; Egypt; Greece; Morocco; Iran; Yemen; Japan; Korea; Sweden; Iceland; Latvia; Bosnia-Herzegovina; Tonga; Marshall Islands,precomposed,Corpus study; The analysis focused on western and non-western songs. The majority of the songs were of non-western origin.,Akvile Jadzgeviciute,Cross-cultural; melodic contour; audio analysis; music evolution; bird song
The musical impact of multicultural London English (MLE) speech rhythm ,2017,Music Perception,"Lee, Christopher S.",UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pop; rap,Western,precomposed,Experiment 1; corpus study,Akvile Jadzgeviciute,Speech rhythm; Multicultural London English; text setting; stress mismatches; nPVI
The musical impact of multicultural London English (MLE) speech rhythm ,2017,Music Perception,"Lee, Christopher S.",UK,UK,NA,NA,33,NA,NA,15,18,NA,other,NA,NA,NA,NA,experimenter-created,Experiment 2; stimuli's genre was not stated,Akvile Jadzgeviciute,Speech rhythm; Multicultural London English; text setting; stress mismatches; nPVI
Corpus-derived key profiles are not transpositionally equivalent ,2017,Music Perception,"Quinn, Ian",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study; 2 experiments were run with the same corpus,Akvile Jadzgeviciute,Corpus analysis; tonality; keys; cognitive modeling; key profiles
Personal music listening: a model of emotional outcomes developed through mobile experience sampling ,2017,Music Perception,"Randall, William M.",Australia,NA,NA,NA,195,20.64,5.89,146,49,musicians; non-musicians,volunteer; course credit,NA,NA,NA,NA,NA,Music was participant selected,Akvile Jadzgeviciute,Music; emotion; experience sampling method; mobile phone; everyday music listening
Hierarchizability as a predictor of scale candidacy ,2017,Music Perception,"Verosky, Niels J.",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,artificial,NA,precomposed,Various western and non-western scales were compared in this study for Hierarchizability,Akvile Jadzgeviciute,Scales; scale candidacy; properties of scales; universal constraints on music; hierarchy
Lay listeners can evaluate the pitch accuracy of operatic voices ,2017,Music Perception,"Larrouy-Maestri, Pauline",Germany,Belgium; France,NA,NA,22,45.59,11.64,8,NA,musicians; non-musicians,volunteer,NA,NA,traditional,Western,semi-precomposed,Stimuli were recorded operatic versions of the last line in Happy birthday by several different singers.,Akvile Jadzgeviciute,Music expertise; pitch accuracy; melodic perception; singing voice; opera
Rhythmic variability in language and music of latino and latino-inspired composers ,2017,Music Perception,"Hanson, Josef",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Latin America; Western,precomposed,"Corpus analysis, the pieces were compared for differences in rhythmical variability in both Latino and western composers",Akvile Jadzgeviciute,Speech rhythm; musical rhythm; nPVI; Latino; prosody
Pitch imitation ability in mental transformations of melodies ,2017,Music Perception,"Greenspon, Emma B.",US,US,NA,NA,10; 10,20.4; 21.2,NA,6,14,musicians,course credit; paid,NA,NA,NA,NA,experimenter-created,,Akvile Jadzgeviciute,Singing; sensorimotor integration; imagery; working memory; pitch perception
The effects of diegetic and nondiegetic music on viewers’ interpretations of a film scene ,2017,Music Perception,"Tan, Siu-Lan",US,US,NA,NA,110; 134,20.25; 19.92,2.19; 4.20,134,110,NA,NA,NA,NA,pop,Western,precomposed,The study evaluated the effect of the changes on film experience when soudratck was manipulated,Akvile Jadzgeviciute,Film music; diegetic; interpretation; loudness; emotion
Visualizing and interpreting rhythmic patterns using phase space plots ,2017,Music Perception,"Ravignani, Andrea",Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,Corpus study focusing on rhythm analysis ,Akvile Jadzgeviciute,Rhythm; isochrony; timing; interonset intervals; nPVI
Implicit absolute pitch representation affects basic tonal perception ,2017,Music Perception,"Eitan, Zohar",Israel,Israel,NA,NA,24; 16,24; 23,NA,18,22,musicians; non-musicians,paid,NA,NA,artificial,NA,experimenter-created,Experiment 1,Akvile Jadzgeviciute,Absolute pitch; absolute key; tonal perception; musical tension; music training
Implicit absolute pitch representation affects basic tonal perception ,2017,Music Perception,"Eitan, Zohar",Israel,Israel,NA,NA,56; 19,28; 21,NA,57,18,musicians; non-musicians,course credit; paid,NA,NA,artificial,NA,experimenter-created,Experiment ,Akvile Jadzgeviciute,Absolute pitch; absolute key; tonal perception; musical tension; music training
Pitch dispersal and the perception of tonal strength in Schoenberg's oeuvre ,2017,Music Perception,"Anta, J. Fernando",Argentina,Argentina,NA,NA,8,25.7,1.6,NA,NA,musicians,NA,university+,NA,classical,Western,precomposed,Stimuli were all generated from Schoenberg's catalogue,Akvile Jadzgeviciute,"Tonality, atonality; multiple causation; pitch class-related factors; pitch-related factors"
"Conceptual blending, creativity, and music",2018,Musicae Scientiae,"Zbikowski, Lawrence M.",US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,conceptual blending; creativity; music; theory; analysis
Conceptual blending and musical emotion,2018,Musicae Scientiae,"Spitzer, Michael",UK,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,musical emotion; compression; conceptual blending; theory; analysis
Embedded blends and meaning construction in Modest Musorgsky’s Pictures at an Exhibition,2018,Musicae Scientiae,"Tsougras, Costas",Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,conceptual blending; cognitive theory; cross-domain; melodies; harmonies; intra-musical conceptual blending; extra-musical conceptual blending; theory; analysis
"Schemas, grounds, meaning: On the emergence of musical concepts through conceptual blending",2018,Musicae Scientiae,"Antovic, Mihailo",Serbia,Serbia; US,Serbia; US,NA,NA,NA,NA,NA,NA,musicians; non-musicians,NA,adults,NA,classical,Western,experimenter-created,NA,Katie Vishwanath,conceptual blending; generic space; grounding box; 
Conceptual integration of sound and image: A model of perceptual modalities,2018,Musicae Scientiae,"Athanasopoulos, George",Greece,UK; Japan; Papua New Guinea,UK; Japan; Papua New Guinea,NA,NA,NA,NA,NA,NA,musicians,NA,NA,NA,classical,Western,experimenter-created,NA,Katie Vishwanath,conceptual blending; conceptual metaphor theory; perceptual modalities; sound; image
"B(l)ending time, (de)compressing identity: Creative thought and meaning construction in Copy Shop (2001)",2018,Musicae Scientiae,"Vovaris, Petros",Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This paper used conceptual blending theory to look at the 2001 short film Copy Shop.,Katie Vishwanath,conceptual blending; film; creative thinking
The way we blend: Rethinking conceptual integration through intermedial and open-form scores,2018,Musicae Scientiae,"Stefanou, Danae",Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,precomposed,NA,Katie Vishwanath,conceptual blending; intermedial and open-form scores; musical creativity; theory; analysis
Musical blending and creativity: An empirical evaluation of the CHAMELEON melodic harmonisation assistant,2018,Musicae Scientiae,"Zacharakis, Asterios",Greece,Greece,Greece,NA,40,22,NA,22,18,musicians,volunteer,university students,12.8,jazz,Western,experimenter-created; precomposed,NA,Katie Vishwanath,conceptual blending; creativity; music theory; analysis; musical blending; CHAMELEON melodic harmonzation assistant
Musical blending and creativity: An empirical evaluation of the CHAMELEON melodic harmonisation assistant,2018,Musicae Scientiae,"Zacharakis, Asterios",Greece,Greece,Greece,NA,30,22.2,NA,17,13,musicians,volunteer,university students,12,jazz,Western,experimenter-created; precomposed,NA,Katie Vishwanath,conceptual blending; creativity; music theory; analysis; musical blending; CHAMELEON melodic harmonzation assistant
25 years of ESCOM: Achievements and challenges,2018,Musicae Scientiae,"Sloboda, John A.",UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Katie Vishwanath,ESCOM
Rhythmic Prototypes Across Cultures: A Comparative Study of Tapping Synchronization,2018,Music Perception,"Polak, Rainer",Germany,Mali; Germany; Bulgaria,Mali; Germany; Bulgaria,NA,18; 14; 38,41; 32; 28,NA,1; 3; 16,NA,musicians,paid,NA,NA,classical; traditional,Western; Mali; Bulgaria,experimenter-created,NA,Katie Vishwanath,culture; universals; cross-cultural comparison; categorical rhythm perception; rhythmic prototype
"Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,Music Perception,"Siedenburg, Kai",Canada,Canada,Canada,NA,30; 30,23; 25,4.4; 7.2,36,24,musicians; non-musicians,paid,university students,NA,classical,Western,experimenter-created,NA,Katie Vishwanath,musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity
"Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,Music Perception,"Siedenburg, Kai",Canada,Canada,Canada,NA,22,26,7.6,8,14,musicians,paid,university students,18,classical,Western,experimenter-created,NA,Katie Vishwanath,musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity
"Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,Music Perception,"Siedenburg, Kai",Canada,Canada,Canada,NA,22,24,4.3,9,13,musicians,paid,NA,15,classical,Western,experimenter-created,NA,Katie Vishwanath,musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity
"Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,Music Perception,"Siedenburg, Kai",Canada,Canada,Canada,NA,26,23,3.1,11,15,musicians,paid,NA,14,classical,Western,experimenter-created,NA,Katie Vishwanath,musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity
Musical Harmony in Electric Hearing,2018,Music Perception,"Knobloch, Marie",Germany,Germany,Germany,NA,15,61,NA,NA,NA,NA,NA,patients,NA,classical,Western,experimenter-created,NA,Katie Vishwanath,harmony; consonance; authentic cadence; key membership; cochlear implants
Final Ritardandi and the Expression of Musical Emotion,2018,Music Perception,"Friedmann, Ronald S",US,US,US,NA,38,NA,NA,22,16,NA,course credit,university students,1.76,classical,Western,semi-precomposed,NA,Katie Vishwanath,"music, emotion, sadness, tenderness, ritard"
Final Ritardandi and the Expression of Musical Emotion,2018,Music Perception,"Friedmann, Ronald S",US,US,US,NA,51,NA,NA,36,14,NA,course credit,university students,NA,classical,Western,semi-precomposed,NA,Katie Vishwanath,"music, emotion, sadness, tenderness, ritard"
Making an Impression: Error Location and Repertoire Features Affect Performance Quality Rating Processes,2018,Music Perception,"Waddell, George",UK,UK,UK,NA,42,27.2,9.9,24,18,musicians,NA,university students,19.9,classical,Western,precomposed,NA,Katie Vishwanath,performance; evaluation; continuous measures; errors; familiarity
Effects of Musical Context on the Recognition of Musical Motives During Listening,2018,Music Perception,"Taher, Cecilia ",Canada,Canada,Canada,NA,17,29.3,5.5,7,10,musicians,NA,university students,NA,classical,Western,precomposed,NA,Katie Vishwanath,context effects; motivic identification; motivic similarity; motivic variation; Pierre Boulez
Effects of Musical Context on the Recognition of Musical Motives During Listening,2018,Music Perception,"Taher, Cecilia ",Canada,Canada,Canada,NA,23,23.2,4.9,12,11,musicians,paid,university+,NA,classical,Western,precomposed,NA,Katie Vishwanath,context effects; motivic identification; motivic similarity; motivic variation; Pierre Boulez
Effects of Musical Context on the Recognition of Musical Motives During Listening,2018,Music Perception,"Taher, Cecilia ",Canada,Canada,Canada,NA,20; 20,22.7; 26.3,2.9; 6.3,24,16,musicians,paid,university+,NA,classical,Western,precomposed,NA,Katie Vishwanath,context effects; motivic identification; motivic similarity; motivic variation; Pierre Boulez
Tendency Towards the Average? The Aesthetic Evaluation of a Quantitatively Average Music Performance: A Successful Replication of Repp’s (1997) Study,2018,Music Perception,"Wolf, Anna",Germany,Germany; Taiwan,Germany; Taiwan,Asian,84; 121,29.4,8.9,117,88,musicians; non-musicians,NA,NA,8.3,classical,Western,precomposed,NA,Katie Vishwanath,empirical aesthetics; cross-cultural; performance; music; evaluation
Action-sound Latency and the Perceived Quality of Digital Musical Instruments: Comparing Professional Percussionists and Amateur Musicians,2018,Music Perception,"Jack, Robert H.",UK,UK,UK,NA,21,NA,NA,4,17,musicians; non-musicians,NA,NA,NA,artificial,Western,experimenter-created,NA,Katie Vishwanath,audiotactile latency; sensorimotor synchronization; quality judgments; percussionists; digital musical instruments
"Andrzej Rakowski, 1931–2018",2018,Music Perception,"Makomaska, Sylwia",Poland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This paper was a tribute to a former researcher in the field,Katie Vishwanath,NA
Absolute Pitch and Relative Pitch in Music Students in the East and the West: Implications for Aural-Skills Education,2018,Music Perception,"Miyazaki, Kenichi",Japan,Japan; China; Poland; Germany; US,Japan; China; Poland; Germany; US,Asian,404; 165; 117; 57; 162,NA,NA,NA,NA,musicians,NA,undergraduate students,NA,artificial,Western,experimenter-created,NA,Katie Vishwanath,absolute pitch; relative pitch; cross-cultural; tonality; music education
"Developmental Links Between Speech Perception in Noise, Singing, and Cortical Processing of Music in Children with Cochlear Implants",2018,Music Perception,"Torppa, Ritva",Finland,Finland,Finland,NA,43,NA,NA,23,20,non-musicians,NA,children,NA,artificial,Western,experimenter-created,NA,Katie Vishwanath,ERP; MMN and P3a; informal singing and music instrument playing; perception of speech in noise; attention
Psychological and Musical Factors Underlying Engagement with Unfamiliar Music,2018,Music Perception,"Janata, Petr",US,US,US,Asian,98,21.1,3.1,60,38,NA,course credit,undergraduate students,NA,artificial; blues; rock; folk; funk; jazz; RnB; rock,Western,experimenter-created,NA,Katie Vishwanath,listening time; aesthetics; habituation; repetition; enjoyment; personality
Psychological and Musical Factors Underlying Engagement with Unfamiliar Music,2018,Music Perception,"Janata, Petr",US,US,US,Asian,93,20.5,3.1,74,19,NA,course credit,undergraduate students,NA,artificial; blues; rock; folk; funk; jazz; RnB; rock,Western,experimenter-created,NA,Katie Vishwanath,listening time; aesthetics; habituation; repetition; enjoyment; personality
Psychological and Musical Factors Underlying Engagement with Unfamiliar Music,2018,Music Perception,"Janata, Petr",US,US,US,Asian,283,20.5,2.7,204,79,NA,course credit,undergraduate students,NA,artificial; blues; rock; folk; funk; jazz; RnB; rock,Western,experimenter-created; precomposed,NA,Katie Vishwanath,listening time; aesthetics; habituation; repetition; enjoyment; personality
Expressiveness in Music From a Multimodal Perspective,2018,Music Perception,"Teixeira, Euler C.F.",Brazil,Brazil,Brazil,NA,10,NA,NA,NA,NA,musicians,NA,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,music performance; movement recurrence; musical expressiveness; multimodal analysis; clarinet players
Challenges and Opportunities of Predicting Musical Emotions with Perceptual and Automatized Features,2018,Music Perception,"Lange, Elke B.",Germany,Germany,Germany,NA,20,NA,NA,6,12,NA,NA,NA,NA,classical; blues; country; electronica; folk; hip-hop; jazz; metal; pop; reggae; rock; soul; traditional; world,Western,precomposed,NA,Katie Vishwanath,music information retrieval (MIR); feature extraction; emotion expression; expert ratings; predictive modeling
Tonality Without Structure: Using Drones to Induce Modes and Convey Moods,2018,Music Perception,"Bostwick, Jeffrey",US,US,US,NA,32,NA,NA,NA,NA,NA,course credit,university students,NA,artificial,Western,experimenter-created,NA,Katie Vishwanath,mode; mood; tonality; drone; emotion
Activity Analysis and Coordination in Continuous Responses to Music,2018,Music Perception,"Upham, Finn",Canada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,continuous response to music; statistics; time series analysis; agreement; response coordination
A Perceptual Study of Scale-degree Qualia in Context,2018,Music Perception,"Arthur, Claire",US,US,US,NA,65,NA,NA,NA,NA,musicians; non-musicians,volunteer,university students,NA,NA,Western,experimenter-created,NA,Katie Vishwanath,scale degree; phenomenology; key profiles; melodic-harmonic interaction; pitch perception
Listener Expertise Enhances Intelligibility of Vocalizations in Death Metal Music,2018,Music Perception,"Olsen, Kirk N.",Australia,Australia,Australia,NA,64,23.5,6.43,26,38,musicians; non-musicians,NA,university+,NA,death metal,Western,precomposed,NA,Katie Vishwanath,"auditory perception, emotion, expertise, lyrics, perceptual learning"
The Lone Instrument: Musical Solos and Sadness-Related Features,2018,Music Perception,"Hansen, Niels Chr.",US,US,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,classical,Western,precomposed,This paper selected and coded orchestral excerpts based on various sadness-related acoustical features and their solo/non-solo statuses,Katie Vishwanath,emotion; musical analysis; instrumental music; cognitive musicology; corpus
Are Musical Autobiographical Memories Special? It Ain’t Necessarily So,2018,Music Perception,"Halpern, Andrea R.",US,US,US,NA,41,NA,NA,30,10,NA,NA,undergraduate students,NA,NA,NA,NA,NA,Katie Vishwanath,autobiographical memory; music; emotion; experimental control; flashbulb memory
Are Musical Autobiographical Memories Special? It Ain’t Necessarily So,2018,Music Perception,"Halpern, Andrea R.",US,US,US,NA,48,NA,NA,33,15,NA,NA,undergraduate students,NA,NA,NA,NA,NA,Katie Vishwanath,autobiographical memory; music; emotion; experimental control; flashbulb memory
Repetition Enhances the Musicality of Speech and Tone Stimuli to Similar Degrees,2018,Music Perception,"Tierney, Adam",UK,UK,UK,NA,64,30,7.5,47,17,musicians; non-musicians,course credit; paid,university students,NA,speech; artificial,Western,experimenter-created,NA,Katie Vishwanath,speech; singing; pitch; perception; language
Early Childhood Music Training and Associated Improvements in Music and Language Abilities,2018,Music Perception,"Hutchins, Sean",Canada,Canada,Canada,NA,90,5,NA,41,49,musicians,other,children,NA,childrens,Western,precomposed,This paper had many speech/language/vocabulary tests and only one singing test,Katie Vishwanath,music training; language; transfer; vocabulary; phonological processing
The Online Processing of Implied Harmony in the Perception of Tonal Melodies: Effects of Harmonic Expectations,2018,Music Perception,"Kim, Jung Nyo",US,US,US,NA,18,19.6,2.2,NA,NA,musicians,paid,university students,NA,classical; artificial,Western,experimenter-created,NA,Katie Vishwanath,harmony; melody; online processing; expectations; reaction times
Did You Hear the Vocalist? Differences in Processing Between Short Segments of Familiar and Unfamiliar Music,2018,Music Perception,"Layman, Shannon L.",US,US,US,NA,100,21.14,NA,57,43,musicians; non-musicians,NA,undergraduate students,NA,pop,Western,precomposed,NA,Katie Vishwanath,popular music; music memory; familiarity; featural processing; cognition
Did You Hear the Vocalist? Differences in Processing Between Short Segments of Familiar and Unfamiliar Music,2018,Music Perception,"Layman, Shannon L.",US,US,US,NA,60,25.1,NA,39,21,musicians; non-musicians,NA,undergraduate students,NA,pop,Western,precomposed,NA,Katie Vishwanath,popular music; music memory; familiarity; featural processing; cognition
How Music Moves Us: Entraining to Musicians’ Movements,2018,Music Perception,"Demos, Alexander P.",US,US,US,NA,29,19.04,0.73,20,9,musicians; non-musicians,course credit,university students,NA,classical,Western,precomposed,NA,Katie Vishwanath,synchronization; entrainment; postural sway; music performance; music listening
