"","PaperTitle","Year","Journal","FirstAuthorName_cleaned","FirstAuthorCountry","CountryDataCollected","SamplePrimaryCountryofOrigin","Ethnicity","SampleSize","SampleAgeMean","SampleAgeSD","FemaleParticipantsNumber","MaleParticipantsNumber","SampleMusicianshipDescription","SamplingMethodDescription","SampleOtherDescription","MeanYearsEducation","MusicPrimaryGenre","MusicOriginCountry","MusicSource","Comments","CoderName","Keywords"
"836","Efficacy of a short-term intense piano training program for cognitive aging: A pilot study",2017,"Musicae Scientiae","Bugos, Jennifer","US",NA,NA,NA,"34","70.79","6.2","28","6",NA,NA,NA,"16.63",NA,NA,NA,"Piano training programme was evaluated in this paper.","AJ","Executive functions; music training; piano training; processing speed; verbal fluency"
"837","Smoke into Sound: A pilot randomised controlled trial of a music cravings management program for chronic smokers attempting to quit",2017,"Musicae Scientiae","Dingle, Genevieve A.","Australia","Australia",NA,NA,"19; 18; 18; 55","40.37; 40.72; 41.39; 40.61","9.64; 11.02; 12.73; 10.99","50","60",NA,"volunteer",NA,NA,NA,NA,NA,"Participants in certain conditions of the experiment had to compile a quitting playlist to aid them to quit smoking.","AJ","Craving; health; intervention; music-listening; smoking"
"838","Comparison of well-being of older adult choir singers and the general population in Finland: A case-control study",2017,"Musicae Scientiae","Johnson, Julene K.","US","Finland",NA,NA,"109; 307","71.3; 68.8","7.2; 6.6","122","294","musicians","volunteer; other",NA,NA,NA,NA,NA,"The control group was case matched to the population investigated and data was obtained from a separate database with record of the same questionnaires.","AJ","Arts; case-control methods; choir; health promotion; music; older adults; quality of life; singing"
"839","Testing the beneficial effects of singing in a choir on mood and stress in a longitudinal study: The role of social contacts",2017,"Musicae Scientiae","Linnemann, Alexandra","Germany",NA,NA,NA,"44","22.98","2.18",NA,NA,NA,"volunteer; other",NA,NA,NA,NA,NA,"","AJ","Choir; health; longitudinal; mood; singing; social contacts; social network map; stress; transfer effects"
"840","Health status and preventive health behavior of music students during university education: Merging prior results with new insights from a German multicenter study",2017,"Musicae Scientiae","Spahn, Claudia ","Germany","Germany",NA,NA,"505",NA,NA,"310",NA,"musicians","volunteer",NA,NA,NA,NA,NA,"","AJ","Health; health-oriented preventive behavior; musicians’ medicine; music physiology; music students; playing-related health problems; prevention program"
"841","Why go to pop concerts? The motivations behind live music attendance",2017,"Musicae Scientiae","Brown, Steven Caldwell","UK","online","UK",NA,"249","26.49",NA,"137","112",NA,"volunteer",NA,NA,NA,NA,NA,"Motivations behind going to live pop music concerts were explored.","AJ","Consumer behaviour; live music; music piracy; music preferences; thematic analysis"
"842","Similar but different: Interviewing monozygotic twins discordant for musical practice",2017,"Musicae Scientiae","Eriksson, Helene ","Sweden","online","Sweden",NA,"1312","37.4","6",NA,NA,"musicians; non-musicians","paid",NA,NA,NA,NA,NA,"Participants were described as not professionla musicians, but half of them (1 per twin pair) were expected to play a keyboard instrument, while the other one did not.","AJ","Flow; motivation; music practice; openness; personality"
"843","Similar but different: Interviewing monozygotic twins discordant for musical practice",2017,"Musicae Scientiae","Eriksson, Helene ","Sweden","Sweden","Sweden",NA,"20","39",NA,"12","8","musicians; non-musicians","paid",NA,NA,NA,NA,NA,"Participants were described as not professionla musicians, but half of them (1 per twin pair) were expected to play a keyboard instrument, while the other one did not.","AJ","Flow; motivation; music practice; openness; personality"
"844","Cognitive inhibitory control in children following early childhood music education",2017,"Musicae Scientiae","Joret, Marie-Eve","Belgium","Belgium",NA,NA,"63","10.44","0.53","28","35","musicians; non-musicians","volunteer; other","children",NA,NA,NA,NA,"","AJ","Early childhood music education; executive functions; inhibitory control; music training"
"845","Instrumental practice in the contemporary music academy: A three-phase cycle of Self-Regulated Learning in music students",2017,"Musicae Scientiae","Hatfield, Johannes L.","Norway","Norway",NA,NA,"204",NA,NA,"96","108","musicians","volunteer",NA,NA,NA,NA,NA,"Participants' poractice was inestigated through self-report","AJ","Goal setting; instrumental practice; motivation; psychological skills; self-regulated learning"
"846","Age trends in musical preferences in adulthood: 1. Conceptualization and empirical investigation",2017,"Musicae Scientiae","Bonneville-Roussy, Arielle ","UK","online",NA,"white","2126; 1876","30.16; 30.22","10.9; 11.09","2140","1862","musicians; non-musicians","volunteer","university+",NA,NA,"Western","precomposed","27 various western genres were used in the study","AJ","Age differences; conceptual model; musical preferences; test validation"
"847","Adopting a music-to-heart rate alignment strategy to measure the impact of music and its tempo on human heart rate",2017,"Musicae Scientiae","Dyck, Edith van","Belgium",NA,NA,NA,"32","23.59","2.73","16","16",NA,"volunteer",NA,NA,"ambient",NA,"precomposed","Stimuli were selected to be of adjustable tempi without quality loss.","AJ","Arousal; heart rate; music tempo; regulation; relaxation"
"848","Finding meaning through musical growth: Life histories of visually impaired musicians",2017,"Musicae Scientiae","Park, Hye Young","South Korea","South Korea",NA,NA,"8",NA,NA,"4","4","musicians","volunteer","patients",NA,NA,NA,NA,"","AJ","Life history research; musical growth; professional musician; visual impairment"
"849","Experiential (informal/non-formal) practice does not improve sight-reading skills",2017,"Musicae Scientiae","Zhukov, Katie ","Australia",NA,NA,NA,"80","18.88","2.65","56","24","musicians",NA,NA,NA,NA,NA,NA,"","AJ","Collaborative playing; diaries; pitch and rhythm processing; practice; sight-reading; skills for music careers"
"850","Conflicts in music in the South Caucasus: The case of Armenians and Azerbaijanis",2017,"Musicae Scientiae","Davidjants, Brigitta ","Estonia","online","Armenia; Azerbaijan",NA,"29; 29",NA,NA,NA,NA,NA,"other",NA,NA,"folk","Armenia; Azerbaijan; Turkey; Iran","precomposed","Data was collected from Youtube comments, therefore all of the information about the participants is assumed. The origins of the song being examined is contested.","AJ","Collective memory; folk song; music and conflict; nationalist identity construction; social media"
"851","The effect of authenticity in music on the subjective theories and aesthetical evaluation of listeners: A randomized experiment",2017,"Musicae Scientiae","Wu, Liming ","Germany","online",NA,NA,"492","24.42",NA,"310","176",NA,"volunteer",NA,NA,NA,NA,"experimenter-created","data was collected on participant's origin country and their parent's origin country, but the data was not reported. One of the exclusion criteria was proximity to Chinese culture.","AJ","Aesthetical evaluation; authenticity; empirical aesthetics; music evaluation; music perception; subjective
theories"
"852","Associations between two measures of music aptitude: Are the IMMA and the AMMA significantly correlated in a sample of 9- to 13-year-old children?",2017,"Musicae Scientiae","Dege, Franziska ","Germany","Germany",NA,NA,"89","10.75","0.67","46",NA,"musicians; non-musicians","volunteer; paid",NA,NA,"artificial",NA,"precomposed","The music stimuli used were part of the testing methodology with IMMA and AMMA tests.","AJ","AMMA; IMMA; children; musical aptitude; musical aptitude test"
"853","The effect of social feedback and social context on subjective affective responses to music",2017,"Musicae Scientiae","Koehler, Katelyn","Australia","Australia",NA,NA,"120","20.17","4.4","86","34",NA,"volunteer; course credit","university students",NA,NA,"Western","precomposed","STOMP examples of genres per factor were used for the experiment. ","AJ","Affect; circumplex model; concentration; music listening; social context; social feedback"
"854","Recordings as learning and practising resources for performance: Exploring attitudes and behaviours of music students and professionals",2017,"Musicae Scientiae","Volioti, Georgia ","UK","online","UK",NA,"204","28.63","13.25","138","66","musicians","other",NA,NA,NA,NA,NA,"","AJ","Expertise; listening preferences; musical performance; practice; recordings"
"855","Real-time responses to Stravinsky’s symphonies of wind instruments: perception of internal repetition and musical interest ",2017,"Music Perception","Xin Wen, Olivia","US","US",NA,NA,"37",NA,NA,"25","12",NA,"volunteer","university students",NA,"classical","Russia","precomposed","","AJ","Internal repetition; musical interest; repetition
structure; musical features; real-time data"
"856","Psychophysiological indices of music-evoked emotions ",2017,"Music Perception","Ogg, Mattson","Canada","Canada",NA,NA,"30","23","3.5","15","15","musicians","volunteer",NA,NA,"classical","Western","precomposed","Experiment 1","AJ","Psychophysiology; emotion; measurement;
arousal; valence"
"857","Psychophysiological indices of music-evoked emotions ",2017,"Music Perception","Ogg, Mattson","Canada","Canada",NA,NA,"20","21.8","2.5","10","10","musicians","volunteer",NA,NA,"classical","Western","precomposed","Experiment 2","AJ","Psychophysiology; emotion; measurement;
arousal; valence"
"858","The repeated recording illusion: the effects of extrinsic and individual difference factors on musical judgments ",2017,"Music Perception","Anglada-Tort, Manuel","UK",NA,NA,NA,"72","24.26","3.6","36","36","musicians; non-musicians","volunteer",NA,NA,"classical; pop","Western","precomposed","2 pieces were used - Jailhouse Rock by Elvis and Symphony no 4 by Bruckner","AJ","Aesthetics; individual differences; explicit information; music performance; judgments and preferences"
"859","Roughness of two simultaneous harmonic complex tones on just-tempered and equal-tempered scales ",2017,"Music Perception","Vencovsky, Vaclav","Czech Republic",NA,NA,NA,"33","33.5",NA,"5",NA,NA,"volunteer",NA,NA,NA,NA,"experimenter-created","Pre recorded intervals were used as stimuli for this study","AJ","Roughness; just temperament; equal temperament; roughness model; peripheral-ear model"
"860","Auditory driving in cinematic art",2017,"Music Perception","Boltz, Marilyn G.","US",NA,NA,NA,"24",NA,NA,"14","10","non-musicians","course credit","university students",NA,"electronic",NA,"experimenter-created","Experiment 1","AJ","Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing"
"861","Auditory driving in cinematic art",2017,"Music Perception","Boltz, Marilyn G.","US",NA,NA,NA,"24",NA,NA,"13","11","non-musicians","course credit","university students",NA,"electronic",NA,"experimenter-created","Experiment 2","AJ","Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing"
"862","Auditory driving in cinematic art",2017,"Music Perception","Boltz, Marilyn G.","US",NA,NA,NA,"48",NA,NA,"26","22","non-musicians","course credit","university students",NA,NA,NA,NA,"Experiment 3; a visual que was showneither with original soundrtack, manipulated sountrack or silence.","AJ","Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing"
"863","Auditory driving in cinematic art",2017,"Music Perception","Boltz, Marilyn G.","US",NA,NA,NA,"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Experiment 4; a visual que was showneither with original soundrtack, manipulated sountrack or silence.","AJ","Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing"
"864","Blending between bassoon and horn players: an analysis of timbral adjustments during musical performance ",2017,"Music Perception","Lembke, Scen-Amin","Canada","Canada",NA,NA,"16","24.5",NA,"9","7","musicians","paid",NA,NA,"classical","Western","precomposed","The music piece was used to evaluate timbre adjustment in players, it was not used as a stimulus.","AJ","Ensemble coordination; music performance; timbre; blend; spectrum"
"865","An exploratory study of narrative experiences of music ",2017,"Music Perception","Margulis, Elizabeth Hellmuth","US","US",NA,NA,"47","20.9","8","36","11","non-musicians","course credit","university students",NA,"classical","Western","precomposed","","AJ","Narrative; musical topics; enculturation; music and language; semantics"
"866","Creating musical cadences via conceptual blending: Empirical evaluation and enhancement of a formal model ",2017,"Music Perception","Zacharakis, Asterios","Greece","Greece",NA,NA,"20","16.5",NA,NA,"10","musicians","volunteer","university students",NA,NA,NA,"experimenter-created","Experiment 1","AJ","Conceptual blending; musical cadence; computational creativity; empirical evaluation; harmony perception"
"867","Creating musical cadences via conceptual blending: Empirical evaluation and enhancement of a formal model ",2017,"Music Perception","Zacharakis, Asterios","Greece","Greece",NA,NA,"26; 25","22.7; 26.7",NA,NA,"32","musicians","volunteer","university students",NA,NA,NA,"experimenter-created","Experiment 2","AJ","Conceptual blending; musical cadence; computational creativity; empirical evaluation; harmony perception"
"868","Individual differences in music-perceived emotions: the influence of externally oriented thinking ",2017,"Music Perception","Taruffi, Liila","Germany",NA,"Italy",NA,"120","30.37","9.49","73",NA,NA,"volunteer","university+",NA,NA,NA,NA,"","AJ","Music-perceived emotions; alexithymia; empathy; personality traits; musical expertise"
"869","Perceiving boundaries in unfamiliar turkish makam music: evidence for gestalt universals? ",2017,"Music Perception","Mungan, Esra","Turkey","Turkey","Turkey",NA,"41",NA,NA,NA,NA,"musicians; non-musicians","course credit",NA,NA,"makam","Turkey","precomposed","","AJ","Music segmentation; makam music; Gestalt; music training; music enculturation"
"870","Systematic variation in rhythm production as tempo changes ",2017,"Music Perception","Barton, Scott","US","US",NA,NA,"11",NA,NA,NA,NA,"musicians; non-musicians","volunteer","university+",NA,NA,NA,NA,"Clave rhythm was used to test effect of tempo on performance deviation","AJ","Rhythm production; rhythm perception; relational invariance; temporal interval; tempo"
"871","Can you tell a prodogy from a professional musician?",2017,"Music Perception","Comeau, Gilles","Canada","Canada",NA,NA,"51","33.5","13",NA,NA,"musicians; non-musicians","volunteer",NA,NA,NA,NA,NA,"Stimuli were collected from various sources of performances of the same piece by either a child prodigy or a professional musician. The list of pieces were not given.","AJ","Music prodigies; musical talent; musical performance; young performers; rate of progress"
"872","Generality of the memory advantage for vocal melodies ",2017,"Music Perception","Weiss, Michael W.","Canada",NA,NA,NA,"90","18.6","2.5","66","24",NA,"volunteer","undergraduate students",NA,"folk","Western","precomposed","Syimuli were partly recorded specifically for this study","AJ","Melody recognition; voice perception; memory; music; timbre"
"873","Perception of modulations in south Indian classical (Carnatic) music by student and teacher musicians: A cross-cultural study ",2017,"Music Perception","Raman, Rachna","US","India; US","India; US",NA,"44; 44","55.8; 53.2",NA,"34; 27","10; 17","musicians","volunteer",NA,NA,"Ragamalika","India","precomposed","Exp 1; Cohort descriptions: Indian student below 60; Indian teacher below 60; Western student below 60; Western teacher below 60; Indian student above 60; Indian teacher above 60; Western student above 60; Western teacher above 60. (only cohort descriptors were reported for cohorts, the full participant number in each cohort was not reported.)","AJ","Culture-specific cues; grahabedham; ragamalika; schematic and veridical knowledge; surface-level cues"
"874","Perception of modulations in south Indian classical (Carnatic) music by student and teacher musicians: A cross-cultural study ",2017,"Music Perception","Raman, Rachna","US","India; US","India; US",NA,"31; 30","54.6; 52.6",NA,"28; 17","3; 13","musicians","volunteer",NA,NA,"Grahabedham","India","precomposed","Exp 2; Cohort descriptions: Indian student below 60; Indian teacher below 60; Western student below 60; Western teacher below 60; Indian student above 60; Indian teacher above 60; Western student above 60; Western teacher above 60. (only cohort descriptors were reported for cohorts, the full participant number in each cohort was not reported.)","AJ","Culture-specific cues; grahabedham; ragamalika; schematic and veridical knowledge; surface-level cues"
"875","Taking harmony into account: the effect of harmony on melodic probability ",2017,"Music Perception","Arthur, Claire","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Western","precomposed","Corpus study","AJ","Melodic probability;  melodic modeling; melodic expectation; harmony; scale-degree distributions"
"876","Rhythmic variability in European vocal music ",2017,"Music Perception","Temperley, David","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Western","precomposed","Corpus study","AJ","Vocal music; rhythm; nPVI; speech; music-language connections"
"877","Harmonic syntax of the twelve-bar blues form: a corpus study ",2017,"Music Perception","Katz, Jonah","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blues","Western","precomposed","Corpus study","AJ","Syntax; corpus methods; formal language complexity; blues; jazz harmony"
"878","Swing rhythm in classic drum breaks from hip-hop’s breakbeat canon ",2017,"Music Perception","Frane, Andrew V.","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Western","precomposed","Corpus study; classic drum beats sampled by hip-hop artists were examined.","AJ","Swing; microtiming; hip-hop; breakbeats; sampling"
"879","Perception and evaluation of timing patterns in drum ensemble music from Mali ",2017,"Music Perception","Neuhoff, Hans","Germany","Mali","Mali",NA,"23",NA,NA,"10","13","musicians","paid",NA,NA,"Manjanin","Mali","precomposed","","AJ","Rhythm production and perception; swing ratio; timing; Malian drumming; non-Western music"
"880","Perceptual learning of pitch direction in congenital amusia: evidence from Chinese speakers ",2017,"Music Perception","Liu, Fang","UK","China","China",NA,"20; 20","23.55; 23.25","1.57; 1.71",NA,NA,NA,"other","amusics","17.20; 18.20; 16.20; 17.85",NA,NA,"experimenter-created","Study evaluated accuracy of identifying pitch movement directions","AJ","Congenital amusia; auditory training; pitch threshold; pitch direction; musical processing"
"881","GEMIAC: GEneva Music-Induced Affect Checklist",2017,"Music Perception","Coutinho, Eduardo","UK","online","Switzerland",NA,"18","30.2","6.19","13",NA,NA,"paid",NA,NA,NA,NA,NA,"Gemiac development","AJ","Emotion; feeling; music; measurement; checklist"
"882","Music, Synchrony, and Prosocial Behavior in Infants",2017,"Music Perception","Cirelli, Laura K.","Canada","Canada",NA,NA,"24","1.22","0.02","12",NA,NA,"other","infants",NA,NA,NA,NA,"","AJ","Interpersonal synchrony; infancy; prosocial behavior; music; soundscape"
"883","Perception and Familiarity of Diatonic Modes",2017,"Music Perception","Tan, Daphne","US","US",NA,NA,"18; 12; 16; 12","21; 20; 20; 24",NA,NA,NA,"non-musicians","paid","university students",NA,"artificial","Western","experimenter-created","The stimuli used were experiemnter created melodies based on mode pairs to investigate perception of diatonic modes.","AJ","Familiarity; diatonic modes; scales; emotion; popular music"
"884","Global music recordings support the motor constraint hypothesis for human and avian song contour ",2017,"Music Perception","Savage, Patrick E.","Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"world","Liberia; Somalia; Venezuala; Brazil; Chile; Western; India; Turkey; Egypt; Greece; Morocco; Iran; Yemen; Japan; Korea; Sweden; Iceland; Latvia; Bosnia-Herzegovina; Tonga; Marshall Islands","precomposed","Corpus study; The analysis focused on western and non-western songs. The majority of the songs were of non-western origin.","AJ","Cross-cultural; melodic contour; audio analysis; music evolution; bird song"
"885","The musical impact of multicultural London English (MLE) speech rhythm ",2017,"Music Perception","Lee, Christopher S.","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pop; rap","Western","precomposed","Experiment 1; corpus study","AJ","Speech rhythm; Multicultural London English; text setting; stress mismatches; nPVI"
"886","The musical impact of multicultural London English (MLE) speech rhythm ",2017,"Music Perception","Lee, Christopher S.","UK","UK",NA,NA,"33",NA,NA,"15","18",NA,"other",NA,NA,NA,NA,"experimenter-created","Experiment 2; stimuli's genre was not stated","AJ","Speech rhythm; Multicultural London English; text setting; stress mismatches; nPVI"
"887","Corpus-derived key profiles are not transpositionally equivalent ",2017,"Music Perception","Quinn, Ian","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Western","precomposed","Corpus study; 2 experiments were run with the same corpus","AJ","Corpus analysis; tonality; keys; cognitive modeling; key profiles"
"888","Personal music listening: a model of emotional outcomes developed through mobile experience sampling ",2017,"Music Perception","Randall, William M.","Australia",NA,NA,NA,"195","20.64","5.89","146","49","musicians; non-musicians","volunteer; course credit",NA,NA,NA,NA,NA,"Music was participant selected","AJ","Music; emotion; experience sampling method; mobile phone; everyday music listening"
"889","Hierarchizability as a predictor of scale candidacy ",2017,"Music Perception","Verosky, Niels J.","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"artificial",NA,"precomposed","Various western and non-western scales were compared in this study for Hierarchizability","AJ","Scales; scale candidacy; properties of scales; universal constraints on music; hierarchy"
"890","Lay listeners can evaluate the pitch accuracy of operatic voices ",2017,"Music Perception","Larrouy-Maestri, Pauline","Germany","Belgium; France",NA,NA,"22","45.59","11.64","8",NA,"musicians; non-musicians","volunteer",NA,NA,"traditional","Western","semi-precomposed","Stimuli were recorded operatic versions of the last line in Happy birthday by several different singers.","AJ","Music expertise; pitch accuracy; melodic perception; singing voice; opera"
"891","Rhythmic variability in language and music of latino and latino-inspired composers ",2017,"Music Perception","Hanson, Josef","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Latin America; Western","precomposed","Corpus analysis, the pieces were compared for differences in rhythmical variability in both Latino and western composers","AJ","Speech rhythm; musical rhythm; nPVI; Latino; prosody"
"892","Pitch imitation ability in mental transformations of melodies ",2017,"Music Perception","Greenspon, Emma B.","US","US",NA,NA,"10; 10","20.4; 21.2",NA,"6","14","musicians","course credit; paid",NA,NA,NA,NA,"experimenter-created","","AJ","Singing; sensorimotor integration; imagery; working memory; pitch perception"
"893","The effects of diegetic and nondiegetic music on viewers’ interpretations of a film scene ",2017,"Music Perception","Tan, Siu-Lan","US","US",NA,NA,"110; 134","20.25; 19.92","2.19; 4.20","134","110",NA,NA,NA,NA,"pop","Western","precomposed","The study evaluated the effect of the changes on film experience when soudratck was manipulated","AJ","Film music; diegetic; interpretation; loudness; emotion"
"894","Visualizing and interpreting rhythmic patterns using phase space plots ",2017,"Music Perception","Ravignani, Andrea","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Western","precomposed","Corpus study focusing on rhythm analysis ","AJ","Rhythm; isochrony; timing; interonset intervals; nPVI"
"895","Implicit absolute pitch representation affects basic tonal perception ",2017,"Music Perception","Eitan, Zohar","Israel","Israel",NA,NA,"24; 16","24; 23",NA,"18","22","musicians; non-musicians","paid",NA,NA,"artificial",NA,"experimenter-created","Experiment 1","AJ","Absolute pitch; absolute key; tonal perception; musical tension; music training"
"896","Implicit absolute pitch representation affects basic tonal perception ",2017,"Music Perception","Eitan, Zohar","Israel","Israel",NA,NA,"56; 19","28; 21",NA,"57","18","musicians; non-musicians","course credit; paid",NA,NA,"artificial",NA,"experimenter-created","Experiment ","AJ","Absolute pitch; absolute key; tonal perception; musical tension; music training"
"897","Pitch dispersal and the perception of tonal strength in Schoenberg's oeuvre ",2017,"Music Perception","Anta, J. Fernando","Argentina","Argentina",NA,NA,"8","25.7","1.6",NA,NA,"musicians",NA,"university+",NA,"classical","Western","precomposed","Stimuli were all generated from Schoenberg's catalogue","AJ","Tonality, atonality; multiple causation; pitch class-related factors; pitch-related factors"
"898","Conceptual blending, creativity, and music",2018,"Musicae Scientiae","Zbikowski, Lawrence M.","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Western","precomposed",NA,"KV","conceptual blending; creativity; music; theory; analysis"
"899","Conceptual blending and musical emotion",2018,"Musicae Scientiae","Spitzer, Michael","UK","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Western","precomposed",NA,"KV","musical emotion; compression; conceptual blending; theory; analysis"
"900","Embedded blends and meaning construction in Modest Musorgsky’s Pictures at an Exhibition",2018,"Musicae Scientiae","Tsougras, Costas","Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"classical","Western","precomposed",NA,"KV","conceptual blending; cognitive theory; cross-domain; melodies; harmonies; intra-musical conceptual blending; extra-musical conceptual blending; theory; analysis"
"901","Schemas, grounds, meaning: On the emergence of musical concepts through conceptual blending",2018,"Musicae Scientiae","Antovic, Mihailo","Serbia","Serbia; US","Serbia; US",NA,NA,NA,NA,NA,NA,"musicians; non-musicians",NA,"adults",NA,"classical","Western","experimenter-created",NA,"KV","conceptual blending; generic space; grounding box; "
"902","Conceptual integration of sound and image: A model of perceptual modalities",2018,"Musicae Scientiae","Athanasopoulos, George","Greece","UK; Japan; Papua New Guinea","UK; Japan; Papua New Guinea",NA,NA,NA,NA,NA,NA,"musicians",NA,NA,NA,"classical","Western","experimenter-created",NA,"KV","conceptual blending; conceptual metaphor theory; perceptual modalities; sound; image"
"903","B(l)ending time, (de)compressing identity: Creative thought and meaning construction in Copy Shop (2001)",2018,"Musicae Scientiae","Vovaris, Petros","Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This paper used conceptual blending theory to look at the 2001 short film Copy Shop.","KV","conceptual blending; film; creative thinking"
"904","The way we blend: Rethinking conceptual integration through intermedial and open-form scores",2018,"Musicae Scientiae","Stefanou, Danae","Greece",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"precomposed",NA,"KV","conceptual blending; intermedial and open-form scores; musical creativity; theory; analysis"
"905","Musical blending and creativity: An empirical evaluation of the CHAMELEON melodic harmonisation assistant",2018,"Musicae Scientiae","Zacharakis, Asterios","Greece","Greece","Greece",NA,"40","22",NA,"22","18","musicians","volunteer","university students","12.8","jazz","Western","experimenter-created; precomposed",NA,"KV","conceptual blending; creativity; music theory; analysis; musical blending; CHAMELEON melodic harmonzation assistant"
"906","Musical blending and creativity: An empirical evaluation of the CHAMELEON melodic harmonisation assistant",2018,"Musicae Scientiae","Zacharakis, Asterios","Greece","Greece","Greece",NA,"30","22.2",NA,"17","13","musicians","volunteer","university students","12","jazz","Western","experimenter-created; precomposed",NA,"KV","conceptual blending; creativity; music theory; analysis; musical blending; CHAMELEON melodic harmonzation assistant"
"907","25 years of ESCOM: Achievements and challenges",2018,"Musicae Scientiae","Sloboda, John A.","UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KV","ESCOM"
"908","Rhythmic Prototypes Across Cultures: A Comparative Study of Tapping Synchronization",2018,"Music Perception","Polak, Rainer","Germany","Mali; Germany; Bulgaria","Mali; Germany; Bulgaria",NA,"18; 14; 38","41; 32; 28",NA,"1; 3; 16",NA,"musicians","paid",NA,NA,"classical; traditional","Western; Mali; Bulgaria","experimenter-created",NA,"KV","culture; universals; cross-cultural comparison; categorical rhythm perception; rhythmic prototype"
"909","Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,"Music Perception","Siedenburg, Kai","Canada","Canada","Canada",NA,"30; 30","23; 25","4.4; 7.2","36","24","musicians; non-musicians","paid","university students",NA,"classical","Western","experimenter-created",NA,"KV","musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity"
"910","Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,"Music Perception","Siedenburg, Kai","Canada","Canada","Canada",NA,"22","26","7.6","8","14","musicians","paid","university students","18","classical","Western","experimenter-created",NA,"KV","musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity"
"911","Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,"Music Perception","Siedenburg, Kai","Canada","Canada","Canada",NA,"22","24","4.3","9","13","musicians","paid",NA,"15","classical","Western","experimenter-created",NA,"KV","musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity"
"912","Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,"Music Perception","Siedenburg, Kai","Canada","Canada","Canada",NA,"26","23","3.1","11","15","musicians","paid",NA,"14","classical","Western","experimenter-created",NA,"KV","musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity"
"913","Musical Harmony in Electric Hearing",2018,"Music Perception","Knobloch, Marie","Germany","Germany","Germany",NA,"15","61",NA,NA,NA,NA,NA,"patients",NA,"classical","Western","experimenter-created",NA,"KV","harmony; consonance; authentic cadence; key membership; cochlear implants"
"914","Final Ritardandi and the Expression of Musical Emotion",2018,"Music Perception","Friedmann, Ronald S","US","US","US",NA,"38",NA,NA,"22","16",NA,"course credit","university students","1.76","classical","Western","semi-precomposed",NA,"KV","music, emotion, sadness, tenderness, ritard"
"915","Final Ritardandi and the Expression of Musical Emotion",2018,"Music Perception","Friedmann, Ronald S","US","US","US",NA,"51",NA,NA,"36","14",NA,"course credit","university students",NA,"classical","Western","semi-precomposed",NA,"KV","music, emotion, sadness, tenderness, ritard"
"916","Making an Impression: Error Location and Repertoire Features Affect Performance Quality Rating Processes",2018,"Music Perception","Waddell, George","UK","UK","UK",NA,"42","27.2","9.9","24","18","musicians",NA,"university students","19.9","classical","Western","precomposed",NA,"KV","performance; evaluation; continuous measures; errors; familiarity"
"917","Effects of Musical Context on the Recognition of Musical Motives During Listening",2018,"Music Perception","Taher, Cecilia ","Canada","Canada","Canada",NA,"17","29.3","5.5","7","10","musicians",NA,"university students",NA,"classical","Western","precomposed",NA,"KV","context effects; motivic identification; motivic similarity; motivic variation; Pierre Boulez"
"918","Effects of Musical Context on the Recognition of Musical Motives During Listening",2018,"Music Perception","Taher, Cecilia ","Canada","Canada","Canada",NA,"23","23.2","4.9","12","11","musicians","paid","university+",NA,"classical","Western","precomposed",NA,"KV","context effects; motivic identification; motivic similarity; motivic variation; Pierre Boulez"
