PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Experiential (informal/non-formal) practice does not improve sight-reading skills,2017,Musicae Scientiae,"Zhukov, Katie ",Australia,NA,NA,NA,80,18.88,2.65,56,24,,,Musicians,NA,NA,NA ,NA ,NA ,,Akvile Jadzgeviciute,Collaborative playing; diaries; pitch and rhythm processing; practice; sight-reading; skills for music careers
Conflicts in music in the South Caucasus: The case of Armenians and Azerbaijanis,2017,Musicae Scientiae,"Davidjants, Brigitta ",Estonia,online,Armenia; Azerbaijan,NA,NA,NA,NA,NA,NA,,NA,NA,Other,NA,Traditional folk,"Contested - Armenia, Azerbaijan, Turkey, Iran",Precomposed,"Data was collected from Youtube comments, therefore all of the information about the participants is assumed. The origins of the song being examined is contested.",Akvile Jadzgeviciute,Collective memory; folk song; music and conflict; nationalist identity construction; social media
The effect of authenticity in music on the subjective theories and aesthetical evaluation of listeners: A randomized experiment,2017,Musicae Scientiae,"Wu, Liming ",Germany,online,NA,NA,492,24.42,NA,310,176,,NA,NA,Volunteers,NA,NA ,NA ,experimenter-created,"data was collected on participant's origin country and their parent's origin country, but the data was not reported. One of the exclusion criteria was proximity to Chinese culture.",Akvile Jadzgeviciute,"Aesthetical evaluation; authenticity; empirical aesthetics; music evaluation; music perception; subjective
theories"
Associations between two measures of music aptitude: Are the IMMA and the AMMA significantly correlated in a sample of 9- to 13-year-old children?,2017,Musicae Scientiae,"Dege, Franziska ",Germany,Germany,NA,NA,89,10.75,0.67,46,NA,,"Parental education (54,1% with neither parent holding a HE degree)","Musicians, non-musicians",Volunteers; paid,NA,artificial,NA ,Precomposed,The music stimuli used were part of the testing methodology with IMMA and AMMA tests.,Akvile Jadzgeviciute,AMMA; IMMA; children; musical aptitude; musical aptitude test
The effect of social feedback and social context on subjective affective responses to music,2017,Musicae Scientiae,"Koehler, Katelyn",Australia,Australia,NA,NA,120,20.17,4.4,86,34,,Psychology students,"Music education M=3,56 +-4,23",Volunteers; course credits,NA,NA,Western,Precomposed,STOMP examples of genres per factor were used for the experiment. ,Akvile Jadzgeviciute,Affect; circumplex model; concentration; music listening; social context; social feedback
Recordings as learning and practising resources for performance: Exploring attitudes and behaviours of music students and professionals,2017,Musicae Scientiae,"Volioti, Georgia ",UK,online,UK,NA,204,28.63,13.25,138,66,,Student musicians and professional musicians,Musicians,Other,NA,NA ,NA ,NA ,,Akvile Jadzgeviciute,Expertise; listening preferences; musical performance; practice; recordings
Real-time responses to Stravinsky’s symphonies of wind instruments: perception of internal repetition and musical interest ,2017,Musicae Scientiae,"Xin Wen, Olivia",USA,USA,NA,NA,37,NA,NA,25,12,,Students,"Average experience playing 9,63 years.",Volunteers,NA,Classical,Russia,Precomposed,,Akvile Jadzgeviciute,"Internal repetition; musical interest; repetition
structure; musical features; real-time data"
Psychophysiological indices of music-evoked emotions ,2017,Musicae Scientiae,"Ogg, Mattson",Canada,Canada,NA,NA,30,23,3.5,15,15,,,Musicians,Volunteers,NA,Classical,Western,precomposed,Experiment 1,Akvile Jadzgeviciute,"Psychophysiology; emotion; measurement;
arousal; valence"
Psychophysiological indices of music-evoked emotions ,2017,Musicae Scientiae,"Ogg, Mattson",Canada,Canada,NA,NA,20,21.8,2.5,10,10,,,Musicians,Volunteers,NA,Classical,Western,precomposed,Experiment 2,Akvile Jadzgeviciute,"Psychophysiology; emotion; measurement;
arousal; valence"
The repeated recording illusion: the effects of extrinsic and individual difference factors on musical judgments ,2017,Musicae Scientiae,"Anglada-Tort, Manuel  ",UK,NA,NA,NA,72,24.26,3.6,36,36,,,Musicians; non-musicians,Volunteers,NA,Classical; Popular,Western,precomposed,2 pieces were used - Jailhouse Rock by Elvis and Symphony no 4 by Bruckner,Akvile Jadzgeviciute,Aesthetics; individual differences; explicit information; music performance; judgments and preferences
Roughness of two simultaneous harmonic complex tones on just-tempered and equal-tempered scales ,2017,Musicae Scientiae,"Vencovsky, Vaclav",Czech Republic,NA,NA,NA,15; 18,20-47,NA,2; 3,NA,,Sine-phase condition; Random condition,NA,Volunteers,NA,NA,NA,experimenter-created,Pre recorded intervals were used as stimuli for this study,Akvile Jadzgeviciute,Roughness; just temperament; equal temperament; roughness model; peripheral-ear model
Auditory driving in cinematic art,2017,Musicae Scientiae,"Boltz, Marilyn G.",USA,NA,NA,NA,24,NA,NA,14,10,,Psychology students,non-musicians,Course credit,NA,Electronic,NA,experimenter-created,Experiment 1,Akvile Jadzgeviciute,Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing
Auditory driving in cinematic art,2017,Musicae Scientiae,"Boltz, Marilyn G.",USA,NA,NA,NA,24,NA,NA,13,11,,Psychology students,non-musicians,Course credit,NA,Electronic,NA,experimenter-created,Experiment 2,Akvile Jadzgeviciute,Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing
Auditory driving in cinematic art,2017,Musicae Scientiae,"Boltz, Marilyn G.",USA,NA,NA,NA,48,NA,NA,26,22,,Psychology students,non-musicians,Course credit,NA,NA,NA,NA,"Experiment 3; a visual que was showneither with original soundrtack, manipulated sountrack or silence.",Akvile Jadzgeviciute,Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing
Auditory driving in cinematic art,2017,Musicae Scientiae,"Boltz, Marilyn G.",USA,NA,NA,NA,47,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,"Experiment 4; a visual que was showneither with original soundrtack, manipulated sountrack or silence.",Akvile Jadzgeviciute,Auditory dominance; auditory driving; tempo recognition; music-film interactions; audiovisual processing
Blending between bassoon and horn players: an analysis of timbral adjustments during musical performance ,2017,Musicae Scientiae,"Lembke, Sven-Amin",Canada,Canada,NA,NA,16,18-31,NA,3; 6,5; 2,,Bassonists; hornists,Musicians,Paid,NA,Classical,Western,precomposed,"The music piece was used to evaluate timbre adjustment in players, it was not used as a stimulus.",Akvile Jadzgeviciute,Ensemble coordination; music performance; timbre; blend; spectrum
An exploratory study of narrative experiences of music ,2017,Musicae Scientiae,"Margulis, Elizabeth Hellmuth",USA,USA,NA,NA,47,20.9,8,36,11,,Psychology students,Non-musicians,Course credit,NA,Classical,Western,precomposed,,Akvile Jadzgeviciute,Narrative; musical topics; enculturation; music and language; semantics
Creating musical cadences via conceptual blending: Empirical evaluation and enhancement of a formal model ,2017,Musicae Scientiae,"Zacharakis, Asterios",Greece,Greece,NA,NA,20,16.5,NA,NA,10,,Music students,Musicians,Volunteers,NA,NA,NA,experimenter-created,Experiment 1,Akvile Jadzgeviciute,Conceptual blending; musical cadence; computational creativity; empirical evaluation; harmony perception
Creating musical cadences via conceptual blending: Empirical evaluation and enhancement of a formal model ,2017,Musicae Scientiae,"Zacharakis, Asterios",Greece,Greece,NA,NA,26; 25,"22,7; 26,7",NA,NA,17; 15,,Music students,Musicians,Volunteers,NA,NA,NA,experimenter-created,Experiment 2,Akvile Jadzgeviciute,Conceptual blending; musical cadence; computational creativity; empirical evaluation; harmony perception
Individual differences in music-perceived emotions: the influence of externally oriented thinking ,2017,Musicae Scientiae,"Taruffi, Liila",Germany,NA,Italy,NA,120,30.37,9.49,73,NA,,Majority Students,NA,Volunteers,NA,NA,NA,NA,,Akvile Jadzgeviciute,Music-perceived emotions; alexithymia; empathy; personality traits; musical expertise
Perceiving boundaries in unfamiliar turkish makam music: evidence for gestalt universals? ,2017,Musicae Scientiae,"Mungan, Esra",Turkey,Turkey,Turkey,NA,16; 14; 11,NA,NA,NA,NA,,Turkish musicians; turkish non-musicians; Western listeners,Musicians; non-musicians,Course credit,NA,Makam (Turkish folk music),Turkey,precomposed,,Akvile Jadzgeviciute,Music segmentation; makam music; Gestalt; music training; music enculturation
Systematic variation in rhythm production as tempo changes ,2017,Musicae Scientiae,"Barton, Scott",USA,USA,NA,NA,11,NA,NA,NA,NA,,"2 professionla percussionists, 9 undergraduates",Musicians; non-musicians,Volunteers,NA,NA,NA,NA,Clave rhythm was used to test effect of tempo on performance deviation,Akvile Jadzgeviciute,Rhythm production; rhythm perception; relational invariance; temporal interval; tempo
Can you tell a prodogy from a professional musician?,2017,Musicae Scientiae,"Comeau, Gilles",Canada,Canada,NA,NA,26; 25,33.5,13,NA,NA,,,Musicians; non-musicians,Volunteers,NA,NA,NA,NA,Stimuli were collected from various sources of performances of the same piece by either a child prodigy or a professional musician. The list of pieces were not given.,Akvile Jadzgeviciute,Music prodigies; musical talent; musical performance; young performers; rate of progress
Generality of the memory advantage for vocal melodies ,2017,Musicae Scientiae,"Weiss, Michael W.",Canada,NA,NA,NA,90,18.6,2.5,66,24,,undergraduates,NA,Volunteers,NA,British and Irish folk,British isles,precomposed,Syimuli were partly recorded specifically for this study,Akvile Jadzgeviciute,Melody recognition; voice perception; memory; music; timbre
Perception of modulations in south Indian classical (Carnatic) music by student and teacher musicians: A cross-cultural study ,2017,Musicae Scientiae,"Raman, Rachna",USA,India; USA,India; USA,NA,44; 44,"35,36; 47,82; 38,91; 39,55; 71,27; 69,73; 66,73; 67,55",NA,8; 10; 6; 7; 9; 7; 6; 8,3; 1; 5; 4; 2; 4; 5; 3,,Student (Below 60yo); teacher (below 60yo); Student (above 60yo); Teacher (above 60yo) ,Musicians,volunteers,NA,Ragamalika,India,precomposed,"Exp 1; Cohort descriptions: Indian student below 60; Indian teacher below 60; Western student below 60; Western teacher below 60; Indian student above 60; Indian teacher above 60; Western student above 60; Western teacher above 60. (only cohort descriptors were reported for cohorts, the full participant number in each cohort was not reported.)",Akvile Jadzgeviciute,Culture-specific cues; grahabedham; ragamalika; schematic and veridical knowledge; surface-level cues
Perception of modulations in south Indian classical (Carnatic) music by student and teacher musicians: A cross-cultural study ,2017,Musicae Scientiae,"Raman, Rachna",USA,India; USA,India; USA,NA,48; 48,"40,33; 42,29; 36,25; 41,89; 68,43; 67,20; 65,00; 67,14",NA,10; 7; 3; 5; 7; 4; 3; 6,2; 0; 5; 4; 0; 1; 3; 1,,Student (Below 60yo); teacher (below 60yo); Student (above 60yo); Teacher (above 60yo) ,Musicians,volunteers,NA,Grahabedham,India,precomposed,"Exp 2; Cohort descriptions: Indian student below 60; Indian teacher below 60; Western student below 60; Western teacher below 60; Indian student above 60; Indian teacher above 60; Western student above 60; Western teacher above 60. (only cohort descriptors were reported for cohorts, the full participant number in each cohort was not reported.)",Akvile Jadzgeviciute,Culture-specific cues; grahabedham; ragamalika; schematic and veridical knowledge; surface-level cues
Taking harmony into account: the effect of harmony on melodic probability ,2017,Musicae Scientiae,"Arthur, Claire",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Classical ,Western,precomposed,Corpus study,Akvile Jadzgeviciute,Melodic probability;  melodic modeling; melodic expectation; harmony; scale-degree distributions
Rhythmic variability in European vocal music ,2017,Musicae Scientiae,"Temperley, David",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,19th century art songs,England; France; Germany; Italy,precomposed,Corpus study,Akvile Jadzgeviciute,Vocal music; rhythm; nPVI; speech; music-language connections
Harmonic syntax of the twelve-bar blues form: a corpus study ,2017,Musicae Scientiae,"Katz, Jonah",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Blues,Western,precomposed,Corpus study,Akvile Jadzgeviciute,Syntax; corpus methods; formal language complexity; blues; jazz harmony
Swing rhythm in classic drum breaks from hip-hop’s breakbeat canon ,2017,Musicae Scientiae,"Frane, Andrew V.",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Western,precomposed,Corpus study; classic drum beats sampled by hip-hop artists were examined.,Akvile Jadzgeviciute,Swing; microtiming; hip-hop; breakbeats; sampling
Perception and evaluation of timing patterns in drum ensemble music from Mali ,2017,Musicae Scientiae,"Neuhoff, Hans",Germany,Mali,Mali,NA,13; 10,NA,NA,NA; 10,13; NA,,percusionists; dancers,Musicians,paid,NA,Manjanin,Mali,precomposed,,Akvile Jadzgeviciute,Rhythm production and perception; swing ratio; timing; Malian drumming; non-Western music
Perceptual learning of pitch direction in congenital amusia: evidence from Chinese speakers ,2017,Musicae Scientiae,"Liu, Fang",UK,China; Hong Kong,China; Hong Kong,NA,20; 20,"23,55; 24,20; 22,90; 23,25","1,57; 1,69; 1,20; 0,06; 1,71; 0,57",NA,NA,,"Chinese speaking (further split into Amusic, trained, untrained); control group",NA,Other,"17,20; 18,20; 16,20; 17,85",NA,NA,experimenter-created,Study evaluated accuracy of identifying pitch movement directions,Akvile Jadzgeviciute,Congenital amusia; auditory training; pitch threshold; pitch direction; musical processing
GEMIAC: GEneva Music-Induced Affect Checklist,2017,Musicae Scientiae,"Coutinho, Eduardo",UK,online,Switzerland,NA,18,30.2,6.19,13,NA,,"students, colaborators",NA,paid,NA,NA,NA,NA,Gemiac development,Akvile Jadzgeviciute,Emotion; feeling; music; measurement; checklist
"Music, Synchrony, and Prosocial Behavior in Infants",2017,Musicae Scientiae,"Cirelli, Laura K.",Canada,Canada,NA,NA,24,"14,6 months","0,3 months",12,NA,,infants,NA,Other,NA,NA,NA,NA,,Akvile Jadzgeviciute,Interpersonal synchrony; infancy; prosocial behavior; music; soundscape
Perception and Familiarity of Diatonic Modes,2017,Musicae Scientiae,"Tan, Daphne",USA,USA,NA,NA,18; 12; 16; 12,21; 20; 20; 24,NA,NA,NA,,experiment groups: MI & DA Rochester university; MI & DA Indiana university; IL &AP Rochester university; IL & AP Indiana university,non-musicians,paid,NA,artificial,Western ,experimenter-created,The stimuli used were experiemnter created melodies based on mode pairs to investigate perception of diatonic modes.,Akvile Jadzgeviciute,Familiarity; diatonic modes; scales; emotion; popular music
Global music recordings support the motor constraint hypothesis for human and avian song contour ,2017,Musicae Scientiae,"Savage, Patrick E.",Japan,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,world music,non-western,precomposed,Corpus study; The analysis focused on western and non-western songs. The majority of the songs were of non-western origin.,Akvile Jadzgeviciute,Cross-cultural; melodic contour; audio analysis; music evolution; bird song
The musical impact of multicultural London English (MLE) speech rhythm ,2017,Musicae Scientiae,"Lee, Christopher S.",UK,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Popular; rap,UK,precomposed,Experiment 1; corpus study,Akvile Jadzgeviciute,Speech rhythm; Multicultural London English; text setting; stress mismatches; nPVI
The musical impact of multicultural London English (MLE) speech rhythm ,2017,Musicae Scientiae,"Lee, Christopher S.",UK,UK,NA,NA,19; 14,NA,NA,8; 7,11; 7,,Multicultural London English speakers,NA,Other,NA,NA,NA,experimenter-created,Experiment 2; stimuli's genre was not stated,Akvile Jadzgeviciute,Speech rhythm; Multicultural London English; text setting; stress mismatches; nPVI
Corpus-derived key profiles are not transpositionally equivalent ,2017,Musicae Scientiae,"Quinn, Ian",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,"Classical, 19th century",Western ,Precomposed,Corpus study; 2 experiments were run with the same corpus,Akvile Jadzgeviciute,Corpus analysis; tonality; keys; cognitive modeling; key profiles
Personal music listening: a model of emotional outcomes developed through mobile experience sampling ,2017,Musicae Scientiae,"Randall, William M.",Australia,NA,NA,NA,195,20.64,5.89,146,49,,,"musician, non-musician",Volunteers; course credit,NA,NA,NA,NA,Music was participant selected,Akvile Jadzgeviciute,Music; emotion; experience sampling method; mobile phone; everyday music listening
Hierarchizability as a predictor of scale candidacy ,2017,Musicae Scientiae,"Verosky, Niels J.",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,artificial,NA,precomposed,Various western and non-western scales were compared in this study for Hierarchizability,Akvile Jadzgeviciute,Scales; scale candidacy; properties of scales; universal constraints on music; hierarchy
Lay listeners can evaluate the pitch accuracy of operatic voices ,2017,Musicae Scientiae,"Larrouy-Maestri, Pauline",Germany,Belgium; France,NA,NA,22,45.59,11.64,8,NA,,,"musician, non-musician",,NA,Operatic Happy Birthday,NA,semi-precomposed,Stimuli were recorded operatic versions of the last line in Happy birthday by several different singers.,Akvile Jadzgeviciute,Music expertise; pitch accuracy; melodic perception; singing voice; opera
Rhythmic variability in language and music of latino and latino-inspired composers ,2017,Musicae Scientiae,"Hanson, Josef",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Classical,Latin America; western,precomposed,"Corpus analysis, the pieces were compared for differences in rhythmical variability in both Latino and western composers",Akvile Jadzgeviciute,Speech rhythm; musical rhythm; nPVI; Latino; prosody
Pitch imitation ability in mental transformations of melodies ,2017,Musicae Scientiae,"Greenspon, Emma B.",USA,USA,NA,NA,10; 10,"20,4; 21,2",NA,2; 4,8; 6,,accurate singers; VPID singers,Musicians,"course credit, paid",NA,NA,NA,experimenter-created,,Akvile Jadzgeviciute,Singing; sensorimotor integration; imagery; working memory; pitch perception
The effects of diegetic and nondiegetic music on viewers’ interpretations of a film scene ,2017,Musicae Scientiae,"Tan, Siu-Lan",USA,USA,NA,NA,245,"20,25; 19,92","2,19; 4,20",134,110,,males; females,NA,NA,NA,Moon River,Western,precomposed,The study evaluated the effect of the changes on film experience when soudratck was manipulated,Akvile Jadzgeviciute,Film music; diegetic; interpretation; loudness; emotion
Visualizing and interpreting rhythmic patterns using phase space plots ,2017,Musicae Scientiae,"Ravignani, Andrea",Belgium,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,Classical ,Western,precomposed,Corpus study focusing on rhythm analysis ,Akvile Jadzgeviciute,Rhythm; isochrony; timing; interonset intervals; nPVI
Implicit absolute pitch representation affects basic tonal perception ,2017,Musicae Scientiae,"Eitan, Zohar",Israel,Israel,NA,NA,24; 16,24; 23,NA,10; 8,14; 8,,untrained listeners; trained listeners,non-musicians; musicians,paid,NA,artificial,NA,experimenter-created,Experiment 1,Akvile Jadzgeviciute,Absolute pitch; absolute key; tonal perception; musical tension; music training
Implicit absolute pitch representation affects basic tonal perception ,2017,Musicae Scientiae,"Eitan, Zohar",Israel,Israel,NA,NA,56; 19,28; 21,NA,44; 13,12; 6,,NA,non-musicians; musicians,course credit; paid,NA,artificial,NA,experimenter-created,Experiment ,Akvile Jadzgeviciute,Absolute pitch; absolute key; tonal perception; musical tension; music training
Pitch dispersal and the perception of tonal strength in Schoenberg's oeuvre ,2017,Musicae Scientiae,"Anta, J. Fernando",Argentina,Argentina,NA,NA,2; 6,"NA; 25,7","NA; 1,6",NA,NA,,Music professors; music students,musicians,NA,NA,Classical,USA,precomposed,Stimuli were all generated from Schoenberg's catalogue,Akvile Jadzgeviciute,"Tonality, atonality; multiple causation; pitch class-related factors; pitch-related factors"
"Conceptual blending, creativity, and music",2018,Musicae Scientiae,"Zbikowski, Lawrence M.",USA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,conceptual blending; creativity; music; theory; analysis
Conceptual blending and musical emotion,2018,Musicae Scientiae,"Spitzer, Michael",UK,UK,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,musical emotion; compression; conceptual blending; theory; analysis
Embedded blends and meaning construction in Modest Musorgsky’s Pictures at an Exhibition,2018,Musicae Scientiae,"Tsougras, Costas",Greece,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,conceptual blending; cognitive theory; cross-domain; melodies; harmonies; intra-musical conceptual blending; extra-musical conceptual blending; theory; analysis
"Schemas, grounds, meaning: On the emergence of musical concepts through conceptual blending",2018,Musicae Scientiae,"Antovic, Mihailo",Serbia,Serbia; Roma; USA,Serbia; Roma; USA,NA,NA,10; Adults,NA,NA,NA,,naïve; adults,musicians; non-musicians,NA,NA,classical,Western,experimenter-created,NA,Katie Vishwanath,conceptual blending; generic space; grounding box; 
Conceptual integration of sound and image: A model of perceptual modalities,2018,Musicae Scientiae,"Athanasopoulos, George",Greece,UK; Japan; Papua New Guinea,UK; Japan; Papua New Guinea,NA,NA,NA,NA,NA,NA,,NA,musicians,NA,NA,classical,Western,experimenter-created,NA,Katie Vishwanath,conceptual blending; conceptual metaphor theory; perceptual modalities; sound; image
"B(l)ending time, (de)compressing identity: Creative thought and meaning construction in Copy Shop (2001)",2018,Musicae Scientiae,"Vovaris, Petros",Greece,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,This paper used conceptual blending theory to look at the 2001 short film Copy Shop.,Katie Vishwanath,conceptual blending; film; creative thinking
The way we blend: Rethinking conceptual integration through intermedial and open-form scores,2018,Musicae Scientiae,"Stefanou, Danae",Greece,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,precomposed,NA,Katie Vishwanath,conceptual blending; intermedial and open-form scores; musical creativity; theory; analysis
Musical blending and creativity: An empirical evaluation of the CHAMELEON melodic harmonisation assistant,2018,Musicae Scientiae,"Zacharakis, Asterios",Greece,Greece,Greece,Greek,40,22,NA,22,18,,university students,musicians,volunteered,12.8,jazz,Western,experimenter-created; precomposed,NA,Katie Vishwanath,conceptual blending; creativity; music theory; analysis; musical blending; CHAMELEON melodic harmonzation assistant
Musical blending and creativity: An empirical evaluation of the CHAMELEON melodic harmonisation assistant,2018,Musicae Scientiae,"Zacharakis, Asterios",Greece,Greece,Greece,Greek,30,22.2,NA,17,13,,university students,musicians,volunteered,12,jazz,Western,experimenter-created; precomposed,NA,Katie Vishwanath,conceptual blending; creativity; music theory; analysis; musical blending; CHAMELEON melodic harmonzation assistant
25 years of ESCOM: Achievements and challenges,2018,Musicae Scientiae,"Sloboda, John A.",UK,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,Katie Vishwanath,ESCOM
Rhythmic Prototypes Across Cultures: A Comparative Study of Tapping Synchronization,2018,Musicae Scientiae,"Polak, Rainer",Germany,Mali; Germany; Bulgaria,Mali; Germany; Bulgaria,Malian; German; Bulgarian,90,33,NA,20,70,,urban and rural professional drummers; university students and mature professional percussionists; university students,musicians,paid,NA,classical; traditional,Western; Traditional (Malian and Bulgarian Folk),experimenter-created,NA,Katie Vishwanath,culture; universals; cross-cultural comparison; categorical rhythm perception; rhythmic prototype
"Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,Musicae Scientiae,"Siedenburg, Kai",Canada; Germany,Canada,Canada,NA,60,23 (musicians); 25 (non-musicians),4.4 (musicians); 7.2 (non-musicians),36,24,,university students,musicians; non-musicians,paid,14 (musicians); 1.1 (non-musicians),classical,Western,experimenter-created,NA,Katie Vishwanath,musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity
"Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,Musicae Scientiae,"Siedenburg, Kai",Canada; Germany,Canada,Canada,NA,22,26,7.6,8,14,,university students,musicians,NA (paid?),18,classical,Western,experimenter-created,NA,Katie Vishwanath,musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity
"Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,Musicae Scientiae,"Siedenburg, Kai",Canada; Germany,Canada,Canada,NA,22,24,4.3,9,13,,NA,musicians,NA (paid?),15,classical,Western,experimenter-created,NA,Katie Vishwanath,musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity
"Short-term Recognition of Timbre Sequences: Music Training, Pitch Variability, and Timbral Similarity",2018,Musicae Scientiae,"Siedenburg, Kai",Canada; Germany,Canada,Canada,NA,26,23,3.1,11,15,,NA,musicians,NA (paid?),14,classical,Western,experimenter-created,NA,Katie Vishwanath,musical timbre; auditory short-term memory; serial recognition; pitch variability; similarity
Musical Harmony in Electric Hearing,2018,Musicae Scientiae,"Knobloch, Marie",Germany,Germany,Germany,German,15,NA; 61 (median),NA,NA,NA,,CI users; bilaterally postlinugally deaf,NA,NA,NA,classical,Western,experimenter-created,NA,Katie Vishwanath,harmony; consonance; authentic cadence; key membership; cochlear implants
Final Ritardandi and the Expression of Musical Emotion,2018,Musicae Scientiae,"Friedman, Ronald S.",USA,USA,USA,NA,38,NA,NA,22,16,,university students,NA,course credit,1.76,classical,Western,experimenter-created; pdhymms,NA,Katie Vishwanath,"music, emotion, sadness, tenderness, ritard"
Final Ritardandi and the Expression of Musical Emotion,2018,Musicae Scientiae,"Friedman, Ronald S.",USA,USA,USA,NA,51,NA,NA,36,"14; 1 identified as ""other""",,university students,NA,course credit,2.06,classical,Western,experimenter-created; pdhymms,NA,Katie Vishwanath,"music, emotion, sadness, tenderness, ritard"
Making an Impression: Error Location and Repertoire Features Affect Performance Quality Rating Processes,2018,Musicae Scientiae,"Waddell, George",UK,UK,UK,NA,42,27.2,9.9,24,18,,university students,musicians,NA,19.9,classical,Western,precomposed,NA,Katie Vishwanath,performance; evaluation; continuous measures; errors; familiarity
Effects of Musical Context on the Recognition of Musical Motives During Listening,2018,Musicae Scientiae,"Taher, Cecilia",Canada,Canada,Canada,NA,17,29.3,5.5,7,10,,university students,musicians,NA,NA,classical,Western,precomposed,NA,Katie Vishwanath,context effects; motivic identification; motivic similarity; motivic variation; Pierre Boulez
Effects of Musical Context on the Recognition of Musical Motives During Listening,2018,Musicae Scientiae,"Taher, Cecilia",Canada,Canada,Canada,NA,23,23.2,4.9,12,11,,university and high school students,musicians,paid,NA,classical,Western,precomposed,NA,Katie Vishwanath,context effects; motivic identification; motivic similarity; motivic variation; Pierre Boulez
Effects of Musical Context on the Recognition of Musical Motives During Listening,2018,Musicae Scientiae,"Taher, Cecilia",Canada,Canada,Canada,NA,40,22.7 (Anthémes I); 26.3 (Anthémes II),2.9 (Anthémes I); 6.3 (Anthémes II),15 (Anthémes I); 9 (Anthémes II),5 (Anthémes I); 11 (Anthémes II),,university and high school students,musicians,paid,NA,classical,Western,precomposed,NA,Katie Vishwanath,context effects; motivic identification; motivic similarity; motivic variation; Pierre Boulez
Tendency Towards the Average? The Aesthetic Evaluation of a Quantitatively Average Music Performance: A Successful Replication of Repp’s (1997) Study,2018,Musicae Scientiae,"Wolf, Anna",Germany,Germany; Taiwan,Germany; Taiwan,German; Taiwanese,205,29.4,8.9,117,88,,NA,musicians; non-musicians,NA,8.3,classical,Western,precomposed,NA,Katie Vishwanath,empirical aesthetics; cross-cultural; performance; music; evaluation
Action-sound Latency and the Perceived Quality of Digital Musical Instruments: Comparing Professional Percussionists and Amateur Musicians,2018,Musicae Scientiae,"Jack, Robert H.",UK,UK,UK,NA,21,NA,NA,4,17,,NA,musicians; non-musicians,NA,NA,artificial,Western,experimenter-created,NA,Katie Vishwanath,audiotactile latency; sensorimotor synchronization; quality judgments; percussionists; digital musical instruments
"Andrzej Rakowski, 1931–2018",2018,Musicae Scientiae,"Makomaska, Sylwia",Poland,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,This paper was a tribute to a former researcher in the field,Katie Vishwanath,NA
Absolute Pitch and Relative Pitch in Music Students in the East and the West: Implications for Aural-Skills Education,2018,Musicae Scientiae,"Miyazaki, Kenichi",Japan,Japan; China; Poland; Germany; USA,Japan; China; Poland; Germany; USA,Japanese; Chinese; Polish; German; American,1016,NA,NA,NA,NA,,undergraduate students,musicians,NA,NA,artificial,Western,experimenter-created,NA,Katie Vishwanath,absolute pitch; relative pitch; cross-cultural; tonality; music education
